Table,Data
transfers,"{""TransferID"": ""TRF0002"", ""FromAccount"": ""ACC1002"", ""ToAccount"": ""ACC1003"", ""Amount"": 5000.0, ""TransferType"": ""NEFT"", ""Charges"": 5.0, ""Date"": ""2024-12-10"", ""Status"": ""Success"", ""Reference"": ""REF2024121001""}"
transfers,"{""TransferID"": ""TRF0003"", ""FromAccount"": ""ACC1001"", ""ToAccount"": ""ACC1006"", ""Amount"": 1000.0, ""TransferType"": ""Internal"", ""Charges"": 0.0, ""Date"": ""2024-12-11"", ""Status"": ""Success"", ""Reference"": ""REF2024121101""}"
loans,"{""LoanID"": ""LOAN001"", ""CustomerID"": ""CUST001"", ""LinkedAccount"": ""ACC1001"", ""LoanType"": ""Personal Loan"", ""PrincipalAmount"": 200000.0, ""InterestRate"": 12.0, ""Tenure_Months"": 36, ""EMI"": 6644.0, ""StartDate"": ""2024-03-01"", ""MaturityDate"": ""2027-03-01"", ""OutstandingAmount"": 180000.0, ""Status"": ""Active"", ""ApprovalDate"": ""2024-02-25""}"
loans,"{""LoanID"": ""LOAN002"", ""CustomerID"": ""CUST003"", ""LinkedAccount"": ""ACC1005"", ""LoanType"": ""Home Loan"", ""PrincipalAmount"": 2500000.0, ""InterestRate"": 8.5, ""Tenure_Months"": 240, ""EMI"": 24081.0, ""StartDate"": ""2024-04-01"", ""MaturityDate"": ""2044-04-01"", ""OutstandingAmount"": 2480000.0, ""Status"": ""Active"", ""ApprovalDate"": ""2024-03-20""}"
loans,"{""LoanID"": ""LOAN003"", ""CustomerID"": ""CUST002"", ""LinkedAccount"": ""ACC1003"", ""LoanType"": ""Car Loan"", ""PrincipalAmount"": 800000.0, ""InterestRate"": 9.0, ""Tenure_Months"": 60, ""EMI"": 16593.0, ""StartDate"": ""2024-06-01"", ""MaturityDate"": ""2029-06-01"", ""OutstandingAmount"": 750000.0, ""Status"": ""Active"", ""ApprovalDate"": ""2024-05-25""}"
loans,"{""LoanID"": ""LOAN004"", ""CustomerID"": ""CUST004"", ""LinkedAccount"": ""ACC1006"", ""LoanType"": ""Education Loan"", ""PrincipalAmount"": 500000.0, ""InterestRate"": 7.0, ""Tenure_Months"": 120, ""EMI"": 5805.0, ""StartDate"": ""2024-07-01"", ""MaturityDate"": ""2034-07-01"", ""OutstandingAmount"": 495000.0, ""Status"": ""Active"", ""ApprovalDate"": ""2024-06-28""}"
loans,"{""LoanID"": ""LOAN005"", ""CustomerID"": ""CUST001"", ""LinkedAccount"": """", ""LoanType"": ""Business Loan"", ""PrincipalAmount"": 5000000.0, ""InterestRate"": 10.0, ""Tenure_Months"": 36, ""EMI"": 161335.94, ""StartDate"": ""2025-12-13"", ""MaturityDate"": """", ""OutstandingAmount"": 5000000.0, ""Status"": ""Active"", ""ApprovalDate"": ""2025-12-13""}"
loan_payments,"{""PaymentID"": ""PAY0001"", ""LoanID"": ""LOAN001"", ""PaymentDate"": ""2024-04-01"", ""AmountPaid"": 6644.0, ""PrincipalPart"": 4644.0, ""InterestPart"": 2000.0, ""OutstandingAfter"": 195356.0, ""PaymentMethod"": ""Auto-Debit"", ""Status"": ""Success""}"
loan_payments,"{""PaymentID"": ""PAY0002"", ""LoanID"": ""LOAN001"", ""PaymentDate"": ""2024-05-01"", ""AmountPaid"": 6644.0, ""PrincipalPart"": 4690.0, ""InterestPart"": 1954.0, ""OutstandingAfter"": 190666.0, ""PaymentMethod"": ""Auto-Debit"", ""Status"": ""Success""}"
loan_payments,"{""PaymentID"": ""PAY0003"", ""LoanID"": ""LOAN001"", ""PaymentDate"": ""2024-06-01"", ""AmountPaid"": 6644.0, ""PrincipalPart"": 4737.0, ""InterestPart"": 1907.0, ""OutstandingAfter"": 185929.0, ""PaymentMethod"": ""Auto-Debit"", ""Status"": ""Success""}"
loan_payments,"{""PaymentID"": ""PAY0004"", ""LoanID"": ""LOAN002"", ""PaymentDate"": ""2024-05-01"", ""AmountPaid"": 24081.0, ""PrincipalPart"": 6748.0, ""InterestPart"": 17333.0, ""OutstandingAfter"": 2493252.0, ""PaymentMethod"": ""Auto-Debit"", ""Status"": ""Success""}"
loan_payments,"{""PaymentID"": ""PAY0005"", ""LoanID"": ""LOAN002"", ""PaymentDate"": ""2024-06-01"", ""AmountPaid"": 24081.0, ""PrincipalPart"": 6796.0, ""InterestPart"": 17285.0, ""OutstandingAfter"": 2486456.0, ""PaymentMethod"": ""Auto-Debit"", ""Status"": ""Success""}"
loan_payments,"{""PaymentID"": ""PAY0006"", ""LoanID"": ""LOAN003"", ""PaymentDate"": ""2024-07-01"", ""AmountPaid"": 16593.0, ""PrincipalPart"": 10593.0, ""InterestPart"": 6000.0, ""OutstandingAfter"": 789407.0, ""PaymentMethod"": ""Manual"", ""Status"": ""Success""}"
loan_payments,"{""PaymentID"": ""PAY0007"", ""LoanID"": ""LOAN003"", ""PaymentDate"": ""2024-08-01"", ""AmountPaid"": 16593.0, ""PrincipalPart"": 10672.0, ""InterestPart"": 5921.0, ""OutstandingAfter"": 778735.0, ""PaymentMethod"": ""Auto-Debit"", ""Status"": ""Success""}"
cards,"{""CardNumber"": 4532123456789001, ""CustomerID"": ""CUST001"", ""LinkedAccount"": ""ACC1001"", ""CardType"": ""Debit"", ""CreditLimit"": 0, ""IssueDate"": ""2024-01-20"", ""ExpiryDate"": ""2029-01-31"", ""CVV"": 123, ""PIN_Hash"": ""$2b$12$abcdefghijklmnopqrstuv"", ""Status"": ""Active""}"
cards,"{""CardNumber"": 4532123456789002, ""CustomerID"": ""CUST001"", ""LinkedAccount"": ""ACC1002"", ""CardType"": ""Credit"", ""CreditLimit"": 50000, ""IssueDate"": ""2024-03-15"", ""ExpiryDate"": ""2029-03-31"", ""CVV"": 456, ""PIN_Hash"": ""$2b$12$wxyzabcdefghijklmnopqr"", ""Status"": ""Active""}"
cards,"{""CardNumber"": 4532123456789003, ""CustomerID"": ""CUST002"", ""LinkedAccount"": ""ACC1003"", ""CardType"": ""Debit"", ""CreditLimit"": 0, ""IssueDate"": ""2024-02-25"", ""ExpiryDate"": ""2029-02-28"", ""CVV"": 789, ""PIN_Hash"": ""$2b$12$stuvwxyzabcdefghijklmn"", ""Status"": ""Active""}"
cards,"{""CardNumber"": 4532123456789004, ""CustomerID"": ""CUST003"", ""LinkedAccount"": ""ACC1005"", ""CardType"": ""Debit"", ""CreditLimit"": 0, ""IssueDate"": ""2024-03-15"", ""ExpiryDate"": ""2029-03-31"", ""CVV"": 321, ""PIN_Hash"": ""$2b$12$opqrstuvwxyzabcdefghi"", ""Status"": ""Active""}"
cards,"{""CardNumber"": 4532123456789005, ""CustomerID"": ""CUST003"", ""LinkedAccount"": ""ACC1005"", ""CardType"": ""Credit"", ""CreditLimit"": 100000, ""IssueDate"": ""2024-04-20"", ""ExpiryDate"": ""2029-04-30"", ""CVV"": 654, ""PIN_Hash"": ""$2b$12$jklmnopqrstuvwxyzabcd"", ""Status"": ""Active""}"
cheques,"{""ChequeNumber"": ""CHQ001001"", ""AccountNumber"": ""ACC1002"", ""IssuedTo"": ""Priya Sharma"", ""Amount"": 15000.0, ""IssueDate"": ""2024-11-20"", ""ClearanceDate"": ""2024-11-23"", ""Status"": ""Cleared"", ""Remarks"": ""Payment for services""}"
cheques,"{""ChequeNumber"": ""CHQ001002"", ""AccountNumber"": ""ACC1005"", ""IssuedTo"": ""Amit Kumar"", ""Amount"": 5000.0, ""IssueDate"": ""2024-11-25"", ""ClearanceDate"": ""2024-11-28"", ""Status"": ""Cleared"", ""Remarks"": ""Gift""}"
cheques,"{""ChequeNumber"": ""CHQ001003"", ""AccountNumber"": ""ACC1001"", ""IssuedTo"": ""Electricity Board"", ""Amount"": 3000.0, ""IssueDate"": ""2024-12-01"", ""ClearanceDate"": ""2024-12-04"", ""Status"": ""Cleared"", ""Remarks"": ""Bill payment""}"
cheques,"{""ChequeNumber"": ""CHQ001004"", ""AccountNumber"": ""ACC1002"", ""IssuedTo"": ""Supplier ABC"", ""Amount"": 25000.0, ""IssueDate"": ""2024-12-05"", ""ClearanceDate"": null, ""Status"": ""Pending"", ""Remarks"": ""Business payment""}"
cheques,"{""ChequeNumber"": ""CHQ001005"", ""AccountNumber"": ""ACC1003"", ""IssuedTo"": ""Medical Store"", ""Amount"": 2000.0, ""IssueDate"": ""2024-12-08"", ""ClearanceDate"": ""2024-12-10"", ""Status"": ""Bounced"", ""Remarks"": ""Insufficient balance""}"
users,"{""UserID"": ""USR001"", ""Username"": ""admin"", ""Password_Hash"": ""$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewY5FS4x9Z6R8.6m"", ""Role"": ""Admin"", ""EmployeeID"": ""EMP001"", ""Email"": ""admin@corebank.com"", ""Status"": ""Active"", ""LastLogin"": ""2024-12-13 09:00:00""}"
users,"{""UserID"": ""USR002"", ""Username"": ""manager_ajay"", ""Password_Hash"": ""$2b$12$abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ"", ""Role"": ""Manager"", ""EmployeeID"": ""EMP002"", ""Email"": ""ajay@corebank.com"", ""Status"": ""Active"", ""LastLogin"": ""2024-12-12 14:30:00""}"
users,"{""UserID"": ""USR003"", ""Username"": ""teller_riya"", ""Password_Hash"": ""$2b$12$stuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnop"", ""Role"": ""Teller"", ""EmployeeID"": ""EMP003"", ""Email"": ""riya@corebank.com"", ""Status"": ""Active"", ""LastLogin"": ""2024-12-13 08:45:00""}"
users,"{""UserID"": ""USR004"", ""Username"": ""teller_rahul"", ""Password_Hash"": ""$2b$12$opqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghij"", ""Role"": ""Teller"", ""EmployeeID"": ""EMP004"", ""Email"": ""rahul@corebank.com"", ""Status"": ""Active"", ""LastLogin"": ""2024-12-11 16:20:00""}"
audit,"{""LogID"": ""LOG00001"", ""UserID"": ""USR001"", ""Action"": ""Login"", ""Details"": ""Admin login successful"", ""Timestamp"": ""2024-12-13 09:00:00"", ""IPAddress"": ""192.168.1.100"", ""Status"": ""Success""}"
audit,"{""LogID"": ""LOG00002"", ""UserID"": ""USR003"", ""Action"": ""Transaction"", ""Details"": ""Cash withdrawal ACC1001 - Rs.5000"", ""Timestamp"": ""2024-12-13 09:15:00"", ""IPAddress"": ""192.168.1.102"", ""Status"": ""Success""}"
audit,"{""LogID"": ""LOG00003"", ""UserID"": ""USR002"", ""Action"": ""Loan Approval"", ""Details"": ""Approved LOAN004 for CUST004"", ""Timestamp"": ""2024-12-13 10:30:00"", ""IPAddress"": ""192.168.1.101"", ""Status"": ""Success""}"
audit,"{""LogID"": ""LOG00004"", ""UserID"": ""USR003"", ""Action"": ""Transaction"", ""Details"": ""Fund transfer ACC1005 to ACC1001"", ""Timestamp"": ""2024-12-13 11:00:00"", ""IPAddress"": ""192.168.1.102"", ""Status"": ""Success""}"
audit,"{""LogID"": ""LOG00005"", ""UserID"": ""USR001"", ""Action"": ""Config Change"", ""Details"": ""Modified interest rate for Savings"", ""Timestamp"": ""2024-12-13 12:00:00"", ""IPAddress"": ""192.168.1.100"", ""Status"": ""Success""}"
